Hostname;Fabricante_Modelo;Serial_Number;Processador;Memoria_RAM;Discos_Detectados;Data_Coleta
TECH-NOTE;Dell Inc. Dell 15 DC15250;FSRVGC4;13th Gen Intel(R) Core(TM) i7-1355U;31GB Tipo: DDR4 | Frequência: 3200,00 MHz;Generic STORAGE DEVICE USB Device (Unidades de disco padrão) (0GB) Multiple Card Reader (Unidades de disco padrão) (3GB) NVMe 2500 Micron 1024GB (Unidades de disco padrão) (953GB) Realtek RTL9210B-CG USB Device (Unidades de disco padrão) (238GB);10/05/2026
TECH-NOTE;Dell Inc. Dell 15 DC15250;FSRVGC4;13th Gen Intel(R) Core(TM) i7-1355U;31GB Tipo: DDR4 | Frequência: 3200,00 MHz;Generic STORAGE DEVICE USB Device (Unidades de disco padrão) (0GB) Multiple Card Reader (Unidades de disco padrão) (3GB) NVMe 2500 Micron 1024GB (Unidades de disco padrão) (953GB) Realtek RTL9210B-CG USB Device (Unidades de disco padrão) (238GB);10/05/2026
